timestep,speed,
74.8,24.2474496,2.42474496
74.9,24.2385088,2.42385088
75,24.229568,2.4229568
75.1,24.1982752,2.41982752
75.2,24.1669824,2.41669824
75.3,24.1356896,2.41356896
75.4,24.1043968,2.41043968
75.5,24.073104,2.4073104
75.6,24.0418112,2.40418112
75.7,24.0105184,2.40105184
75.8,23.9792256,2.39792256
75.9,23.9479328,2.39479328
76,23.91664,2.391664
76.1,23.8629952,2.38629952
76.2,23.8093504,2.38093504
76.3,23.7557056,2.37557056
76.4,23.7020608,2.37020608
76.5,23.648416,2.3648416
76.6,23.5947712,2.35947712
76.7,23.5411264,2.35411264
76.8,23.4874816,2.34874816
76.9,23.4338368,2.34338368
77,23.380192,2.3380192
77.1,23.3667808,2.33667808
77.2,23.3533696,2.33533696
77.3,23.3399584,2.33399584
77.4,23.3265472,2.33265472
77.5,23.313136,2.3313136
77.6,23.2997248,2.32997248
77.7,23.2863136,2.32863136
77.8,23.2729024,2.32729024
77.9,23.2594912,2.32594912
78,23.24608,2.324608
78.1,23.2416096,2.32416096
78.2,23.2371392,2.32371392
78.3,23.2326688,2.32326688
78.4,23.2281984,2.32281984
78.5,23.223728,2.3223728
78.6,23.2192576,2.32192576
78.7,23.2147872,2.32147872
78.8,23.2103168,2.32103168
78.9,23.2058464,2.32058464
79,23.201376,2.3201376
79.1,23.1969056,2.31969056
79.2,23.1924352,2.31924352
79.3,23.1879648,2.31879648
79.4,23.1834944,2.31834944
79.5,23.179024,2.3179024
79.6,23.1745536,2.31745536
79.7,23.1700832,2.31700832
79.8,23.1656128,2.31656128
79.9,23.1611424,2.31611424
80,23.156672,2.3156672
80.1,23.1611424,2.31611424
80.2,23.1656128,2.31656128
80.3,23.1700832,2.31700832
80.4,23.1745536,2.31745536
80.5,23.179024,2.3179024
80.6,23.1834944,2.31834944
80.7,23.1879648,2.31879648
80.8,23.1924352,2.31924352
80.9,23.1969056,2.31969056
81,23.201376,2.3201376
81.1,23.2058464,2.32058464
81.2,23.2103168,2.32103168
81.3,23.2147872,2.32147872
81.4,23.2192576,2.32192576
81.5,23.223728,2.3223728
81.6,23.2281984,2.32281984
81.7,23.2326688,2.32326688
81.8,23.2371392,2.32371392
81.9,23.2416096,2.32416096
82,23.24608,2.324608
82.1,23.268432,2.3268432
82.2,23.290784,2.3290784
82.3,23.313136,2.3313136
82.4,23.335488,2.3335488
82.5,23.35784,2.335784
82.6,23.380192,2.3380192
82.7,23.402544,2.3402544
82.8,23.424896,2.3424896
82.9,23.447248,2.3447248
83,23.4696,2.34696
83.1,23.5098336,2.35098336
83.2,23.5500672,2.35500672
83.3,23.5903008,2.35903008
83.4,23.6305344,2.36305344
83.5,23.670768,2.3670768
83.6,23.7110016,2.37110016
83.7,23.7512352,2.37512352
83.8,23.7914688,2.37914688
83.9,23.8317024,2.38317024
84,23.871936,2.3871936
84.1,23.938992,2.3938992
84.2,24.006048,2.4006048
84.3,24.073104,2.4073104
84.4,24.14016,2.414016
84.5,24.207216,2.4207216
84.6,24.274272,2.4274272
84.7,24.341328,2.4341328
84.8,24.408384,2.4408384
84.9,24.47544,2.447544
85,24.542496,2.4542496
85.1,24.6274336,2.46274336
85.2,24.7123712,2.47123712
85.3,24.7973088,2.47973088
85.4,24.8822464,2.48822464
85.5,24.967184,2.4967184
85.6,25.0521216,2.50521216
85.7,25.1370592,2.51370592
85.8,25.2219968,2.52219968
85.9,25.3069344,2.53069344
86,25.391872,2.5391872
86.1,25.48128,2.548128
86.2,25.570688,2.5570688
